reportDate,strategy_return,equal_weight_return,strategy_cumulative_return,equal_weight_cumulative_return
2008/05/29,-0.013817936,-0.014189028,1.142572718,1.080756711
2008/05/30,0.012671341,0.005182178,1.157050646,1.086357385
2008/06/02,-0.004273222,-0.008659285,1.152106313,1.076950307
2008/06/03,-0.006275895,-0.004384127,1.144875815,1.072228819
2008/06/04,-0.008927124,-0.008054861,1.134655366,1.063592166
2008/06/05,0.005651395,0.010537013,1.141067752,1.07479925
2008/06/06,0.00721663,-0.000683829,1.149302415,1.074064271
2008/06/09,-0.006116295,-0.014246653,1.142272943,1.05876245
2008/06/10,-0.010106317,-0.017948418,1.13072877,1.039759338
2008/06/11,-0.012469367,-0.012300596,1.116629299,1.026969679
2008/06/12,-0.002089539,0.000903292,1.114296059,1.027897333
2008/06/13,-0.001792384,0.001927521,1.112298812,1.029878626
2008/06/17,-0.004962824,-0.012126784,1.106778669,1.017389511
2008/06/18,-0.005206729,-0.008200255,1.101015972,1.009046657
2008/06/19,-0.00409439,-0.002214928,1.096507984,1.006811691
2008/06/20,-0.012449949,-0.015823985,1.082856515,0.990879918
2008/06/23,-0.009944017,-0.015793544,1.072088572,0.975230413
2008/06/24,-0.000841882,-0.004365991,1.071186,0.970972565
2008/06/25,0.007443442,0.011149028,1.079159311,0.981797966
2008/06/26,0.017841916,0.01076654,1.098413581,0.992368533
2008/06/27,0.007529507,0.01188244,1.106684093,1.004160292
2008/06/30,0.008688441,-0.000564126,1.116299452,1.00359382
2008/07/01,-0.013427181,-0.013795443,1.101310698,0.989748798
2008/07/02,0.004439474,-0.007506553,1.106199938,0.982319197
2008/07/03,-0.017604838,-0.0283185,1.086725467,0.95450139
2008/07/04,-0.004737964,-0.001045674,1.081576601,0.953503293
2008/07/07,-0.002070233,0.00184146,1.079337486,0.955259131
2008/07/08,-0.006589456,-0.013198008,1.072225239,0.942651613
2008/07/09,0.008811587,0.012948783,1.081673245,0.954857805
2008/07/10,-0.001482829,-0.002907174,1.080069308,0.952081867
2008/07/11,0.004074884,0.001941981,1.084470465,0.953930792
2008/07/14,-0.000584373,1.47E-05,1.083836729,0.953944846
2008/07/15,0.015670344,-0.00678071,1.100820823,0.947476422
2008/07/16,-0.002833667,0.016664894,1.097701464,0.963266016
2008/07/17,0.026370697,0.043654674,1.126648616,1.00531708
2008/07/18,-0.000675335,-0.005763354,1.125887751,0.999523082
2008/07/21,-0.016502771,-0.009265698,1.107307483,0.990261803
2008/07/22,-0.001723923,-0.002601114,1.10539857,0.98768602
2008/07/23,-0.001544358,0.017978839,1.103691438,1.005443468
2008/07/24,0.003101563,0.007990823,1.107114607,1.013477788
2008/07/25,-0.003674925,-0.016773248,1.103046044,0.996478473
2008/07/28,-2.16E-05,0.001722481,1.103022264,0.998194889
2008/07/29,-0.009579951,-0.001441884,1.092455365,0.996755607
2008/07/30,0.000103631,0.018718825,1.092568577,1.015413701
2008/07/31,0.006775068,0.008442028,1.099970803,1.023985852
2008/08/01,-0.023380408,-0.03557138,1.074253036,0.987561262
2008/08/04,-0.012916317,-0.016908992,1.060377644,0.970862597
2008/08/05,0.012580509,0.01444684,1.073717735,0.984888494
2008/08/06,0.004657655,0.013618128,1.078718741,0.998300831
2008/08/07,-0.002123946,-0.002922459,1.0764276,0.995383338
2008/08/08,-0.000322961,-0.001528276,1.076079956,0.993862118
2008/08/11,-0.007152924,0.010873582,1.068382837,1.004668959
